table_name,column_name,data_type,is_primary_key,is_foreign_key,references_table,references_column,column_description
PROFILE,profile_id,INTEGER,0,1,PROFILE,profile_id,The profile ID associated with your Amazon Ads account. Advertisers who operate in more than one marketplace will have one profile associated with each marketplace.
AD_GROUP_HISTORY,ad_group_id,INTEGER,0,1,AD_GROUP_HISTORY,id,The ID of the AdGroup.
AD_GROUP_HISTORY,campaign_id,INTEGER,0,1,CAMPAIGN_HISTORY,id,The ID of the Campaign.
PRODUCT_AD_HISTORY,product_ad_id,INTEGER,1,1,PRODUCT_AD_HISTORY,product_ad_id,
CAMPAIGN_HISTORY,portfolio_id,INTEGER,0,1,PORTFOLIO_HISTORY,id,The ID of the Portfolio.
KEYWORD_HISTORY,campaign_id,INTEGER,0,1,CAMPAIGN_HISTORY,id,The ID of the Campaign.
KEYWORD_HISTORY,ad_group_id,INTEGER,0,1,AD_GROUP_HISTORY,id,The ID of the AdGroup.
PORTFOLIO_HISTORY,campaign_id,INTEGER,1,1,CAMPAIGN_HISTORY,id,The ID of the Campaign.
CAMPAIGN_NEGATIVE_KEYWORD_HISTORY,target_id,INTEGER,1,1,TARGETING_CLAUSE_HISTORY,target_id,
NEGATIVE_KEYWORD_HISTORY,keyword_id,INTEGER,1,1,KEYWORD_HISTORY,id,The ID of the keyword.
TARGETING_CLAUSE_HISTORY,target_id,INTEGER,0,1,TARGETING_CLAUSE_HISTORY,target_id,
CAMPAIGN_PLACEMENT_REPORT,ad_group_id,INTEGER,1,1,AD_GROUP_HISTORY,id,The ID of the AdGroup.
CAMPAIGN_PLACEMENT_REPORT,campaign_id,INTEGER,1,1,CAMPAIGN_HISTORY,id,The ID of the Campaign.
CAMPAIGN_PLACEMENT_REPORT,keyword_id,INTEGER,1,1,KEYWORD_HISTORY,id,The ID of the keyword.
TARGETING_KEYWORD_REPORT,ad_group_id,INTEGER,1,1,AD_GROUP_HISTORY,id,The ID of the AdGroup.
TARGETING_KEYWORD_REPORT,campaign_id,INTEGER,1,1,CAMPAIGN_HISTORY,id,The ID of the Campaign.
TARGETING_KEYWORD_REPORT,keyword_id,INTEGER,1,1,KEYWORD_HISTORY,id,The ID of the keyword.
